"","CGID"
"1","cg00001510"
"2","cg00003969"
"3","cg00004121"
"4","cg00004192"
"5","cg00004209"
"6","cg00004771"
"7","cg00005390"
"8","cg00007215"
"9","cg00007810"
"10","cg00009038"
"11","cg00009796"
"12","cg00010242"
"13","cg00011994"
"14","cg00012343"
"15","cg00013196"
"16","cg00013540"
"17","cg00013543"
"18","cg00014168"
"19","cg00014561"
"20","cg00014748"
"21","cg00015261"
"22","cg00015286"
"23","cg00015572"
"24","cg00016802"
"25","cg00017221"
"26","cg00017437"
"27","cg00021044"
"28","cg00022262"
"29","cg00022606"
"30","cg00023750"
"31","cg00025185"
"32","cg00028232"
"33","cg00029052"
"34","cg00029928"
"35","cg00030125"
"36","cg00030176"
"37","cg00031556"
"38","cg00033102"
"39","cg00033127"
"40","cg00033584"
"41","cg00034407"
"42","cg00034468"
"43","cg00034556"
"44","cg00034639"
"45","cg00035452"
"46","cg00035864"
"47","cg00036614"
"48","cg00038131"
"49","cg00038233"
"50","cg00039936"
"51","cg00041636"
"52","cg00041641"
"53","cg00042254"
"54","cg00044501"
"55","cg00045532"
"56","cg00045748"
"57","cg00047162"
"58","cg00047553"
"59","cg00048838"
"60","cg00049947"
"61","cg00050555"
"62","cg00051510"
"63","cg00051623"
"64","cg00052561"
"65","cg00052626"
"66","cg00053647"
"67","cg00054352"
"68","cg00055233"
"69","cg00055726"
"70","cg00056268"
"71","cg00057434"
"72","cg00057517"
"73","cg00058449"
"74","cg00059374"
"75","cg00059643"
"76","cg00059782"
"77","cg00060715"
"78","cg00061679"
"79","cg00062592"
"80","cg00063040"
"81","cg00064336"
"82","cg00064531"
"83","cg00065226"
"84","cg00065998"
"85","cg00066668"
"86","cg00068684"
"87","cg00069967"
"88","cg00070242"
"89","cg00070542"
"90","cg00070870"
"91","cg00071045"
"92","cg00071137"
"93","cg00071575"
"94","cg00071869"
"95","cg00072839"
"96","cg00073384"
"97","cg00074638"
"98","cg00075844"
"99","cg00077299"
"100","cg00077567"
"101","cg00080418"
"102","cg00081141"
"103","cg00081465"
"104","cg00081852"
"105","cg00082981"
"106","cg00084958"
"107","cg00085889"
"108","cg00087301"
"109","cg00087746"
"110","cg00088251"
"111","cg00089430"
"112","cg00090612"
"113","cg00091063"
"114","cg00091178"
"115","cg00091552"
"116","cg00093354"
"117","cg00093794"
"118","cg00094044"
"119","cg00094269"
"120","cg00094319"
"121","cg00095105"
"122","cg00096747"
"123","cg00097415"
"124","cg00097645"
"125","cg00097790"
"126","cg00098188"
"127","cg00098451"
"128","cg00099129"
"129","cg00100121"
"130","cg00101712"
"131","cg00102266"
"132","cg00103771"
"133","cg00104098"
"134","cg00105229"
"135","cg00105368"
"136","cg00105403"
"137","cg00106254"
"138","cg00106920"
"139","cg00108524"
"140","cg00109148"
"141","cg00110695"
"142","cg00111466"
"143","cg00111532"
"144","cg00111723"
"145","cg00112042"
"146","cg00112558"
"147","cg00114503"
"148","cg00114618"
"149","cg00115102"
"150","cg00115714"
"151","cg00116265"
"152","cg00116558"
"153","cg00116686"
"154","cg00117908"
"155","cg00117965"
"156","cg00118363"
"157","cg00119034"
"158","cg00120274"
"159","cg00121030"
"160","cg00121148"
"161","cg00121366"
"162","cg00123057"
"163","cg00125002"
"164","cg00125148"
"165","cg00125858"
"166","cg00128171"
"167","cg00128430"
"168","cg00129524"
"169","cg00131121"
"170","cg00133223"
"171","cg00134041"
"172","cg00134340"
"173","cg00134695"
"174","cg00135121"
